Headline,Link
change,https://www.bbc.com/tag/change/page/1/
deep-thoughts,https://www.bbc.com/tag/deep-thoughts/page/1/
thinking,https://www.bbc.com/tag/thinking/page/1/
world,https://www.bbc.com/tag/world/page/1/
abilities,https://www.bbc.com/tag/abilities/page/1/
choices,https://www.bbc.com/tag/choices/page/1/
inspirational,https://www.bbc.com/tag/inspirational/page/1/
life,https://www.bbc.com/tag/life/page/1/
live,https://www.bbc.com/tag/live/page/1/
miracle,https://www.bbc.com/tag/miracle/page/1/
miracles,https://www.bbc.com/tag/miracles/page/1/
aliteracy,https://www.bbc.com/tag/aliteracy/page/1/
books,https://www.bbc.com/tag/books/page/1/
classic,https://www.bbc.com/tag/classic/page/1/
humor,https://www.bbc.com/tag/humor/page/1/
be-yourself,https://www.bbc.com/tag/be-yourself/page/1/
inspirational,https://www.bbc.com/tag/inspirational/page/1/
adulthood,https://www.bbc.com/tag/adulthood/page/1/
success,https://www.bbc.com/tag/success/page/1/
value,https://www.bbc.com/tag/value/page/1/
life,https://www.bbc.com/tag/life/page/1/
love,https://www.bbc.com/tag/love/page/1/
edison,https://www.bbc.com/tag/edison/page/1/
failure,https://www.bbc.com/tag/failure/page/1/
inspirational,https://www.bbc.com/tag/inspirational/page/1/
paraphrased,https://www.bbc.com/tag/paraphrased/page/1/
misattributed-eleanor-roosevelt,https://www.bbc.com/tag/misattributed-eleanor-roosevelt/page/1/
humor,https://www.bbc.com/tag/humor/page/1/
obvious,https://www.bbc.com/tag/obvious/page/1/
simile,https://www.bbc.com/tag/simile/page/1/
love,https://www.bbc.com/tag/love/
inspirational,https://www.bbc.com/tag/inspirational/
life,https://www.bbc.com/tag/life/
humor,https://www.bbc.com/tag/humor/
books,https://www.bbc.com/tag/books/
reading,https://www.bbc.com/tag/reading/
friendship,https://www.bbc.com/tag/friendship/
friends,https://www.bbc.com/tag/friends/
truth,https://www.bbc.com/tag/truth/
simile,https://www.bbc.com/tag/simile/
